WKT,name,description
"POINT (80.5933134 7.2522506)",ENTRY,
"POINT (80.5930107 7.2522769)",node1,
"POINT (80.5925297 7.2523099)",node2,
"POINT (80.5930046 7.253893)",node3,
"POINT (80.5925685 7.253888)",node4,
"POINT (80.5929842 7.2546491)",node5,
"POINT (80.5918411 7.2539049)",node6,
"POINT (80.5918244 7.2523983)",node7,
"POINT (80.5925657 7.253602)",node8,
"POINT (80.5918512 7.255161)",node9,
"POINT (80.5918348 7.2536083)",node11,
"POINT (80.5918486 7.2545712)",node12,
"POINT (80.590999 7.254582)",node13,
"POINT (80.5918454 7.2543602)",node14,
"POINT (80.5909956 7.254363)",node15,
"POINT (80.5913015 7.2525371)",node16,
"POINT (80.5913341 7.2526047)",node17,
"POINT (80.591822 7.2526144)",node18,
"POINT (80.5925466 7.2528299)",node20,
"POINT (80.5925666 7.2535093)",node21,
"POINT (80.5926689 7.2535073)",node22,
"POINT (80.5926709 7.2537281)",node23,
"POINT (80.5923867 7.2536023)",node24,
"POINT (80.5924876 7.2528292)",entry1,
"POINT (80.5926815 7.2537276)",entry2,
"POINT (80.5923843 7.2536518)",entry3,
"POINT (80.5923244 7.255215)",entry4,
"POINT (80.5923254 7.2551585)",node25,
"POINT (80.5919811 7.2551605)",node26,
"POINT (80.591982 7.2551395)",entry5,
"POINT (80.5919847 7.2550741)",exit1,
"POINT (80.5921742 7.2549027)",entry6,
"POINT (80.592178 7.2547083)",exit2,
"POINT (80.5918959 7.2548297)",entry,exit ,
"POINT (80.5918516 7.2548304)",node27,
"POINT (80.5918244 7.2548303)",entry,exit,
"POINT (80.5911806 7.2545876)",entry11,
"POINT (80.5911913 7.2543721)",exit11,
"POINT (80.5918208 7.2544743)",entry12,
"POINT (80.5918473 7.254474)",node27,
"POINT (80.591818 7.2541129)",entry15,
"POINT (80.5918422 7.2541129)",node28,
"POINT (80.5910651 7.2541256)",exit13,
"POINT (80.5918117 7.253764)",entry15,
"POINT (80.5918395 7.253762)",node29,
"POINT (80.5918916 7.2537558)",entry22,
"POINT (80.5915177 7.2536693)",exit15,
"POINT (80.5916385 7.2535873)",entry,exit17,
"POINT (80.5913871 7.2535514)",entry, exit 16,
"POINT (80.5918313 7.2534101)",node29,
"POINT (80.5918045 7.2534088)",entry18,
"POINT (80.591828 7.2531395)",node30,
"POINT (80.5918015 7.2531412)",entry18,
"POINT (80.5911244 7.2531408)",exit18,
"POINT (80.5917979 7.2528645)",entry20,
"POINT (80.5918235 7.2528652)",node31,
"POINT (80.5917957 7.2526826)",exit 21,
"POINT (80.5918215 7.2526822)",node32,
"POINT (80.5918521 7.2528382)",exit28,
"POINT (80.5918226 7.2528401)",node33,
"POINT (80.591239 7.2549208)",exit8,
